"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5904","Verify the product header and image count of product Samsung SyncMaster 941BW","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","6132","Verify the product header and image count","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","3896","Verify the srp for search key Dini","Google Chrome","2026-01-29","passed","2026-01-29","","srp.spec.ts","",""
"","3974","Verify the srp for search key iMac","Google Chrome","2026-01-29","passed","2026-01-29","","srp.spec.ts","",""
"","4941","Verify product search","Google Chrome","2026-01-29","passed","2026-01-29","","homepage.spec.ts","",""
"","5772","Verify the product details of product MacBook","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","4826","Verify Cretae an account successfully for : 'Test'","Google Chrome","2026-01-29","passed","2026-01-29","","regPage.spec.ts","",""
"","5861","Navigate to Cart Page :MacBook","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","5896","Navigate to Cart Page :Samsung SyncMaster 941BW","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","3776","Verify the srp for search key Macbook","Google Chrome","2026-01-29","passed","2026-01-29","","srp.spec.ts","",""
"","3729","Verify the total no.of products in search results page","Google Chrome","2026-01-29","passed","2026-01-29","","srp.spec.ts","",""
"","6228","Add product to cart :Samsung SyncMaster 941BW","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","5524","Verify the product details of product Samsung SyncMaster 941BW","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","3790","Verify the srp for search key Samsung","Google Chrome","2026-01-29","passed","2026-01-29","","srp.spec.ts","",""
"","4954","Verify Cretae an account successfully for : 'Testing'","Google Chrome","2026-01-29","passed","2026-01-29","","regPage.spec.ts","",""
"","5780","Verify the product header and image count of product MacBook","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
"","4490","Successfull login","Google Chrome","2026-01-29","passed","2026-01-29","","login.spec.ts","",""
"","3529","Invalid Login","Google Chrome","2026-01-29","passed","2026-01-29","","login.spec.ts","",""
"","6233","Add product to cart :MacBook","Google Chrome","2026-01-29","passed","2026-01-29","","pdp.spec.ts","",""
