"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 11:42:44 UTC 2026","Thu Jan 29 11:42:49 UTC 2026","5086","","","","","","[PROD] Verify the product header and image count of product Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 11:42:39 UTC 2026","Thu Jan 29 11:42:44 UTC 2026","5132","","","","","","[PROD] Verify the product header and image count of product MacBook",""
"passed","Thu Jan 29 11:43:01 UTC 2026","Thu Jan 29 11:43:06 UTC 2026","5111","","","","","","[PROD] Verify Cretae an account successfully for : 'Testing'",""
"passed","Thu Jan 29 11:43:14 UTC 2026","Thu Jan 29 11:43:17 UTC 2026","3738","","","","","","[PROD] Verify the srp for search key iMac",""
"passed","Thu Jan 29 11:43:06 UTC 2026","Thu Jan 29 11:43:10 UTC 2026","3742","","","","","","[PROD] Verify the total no.of products in search results page",""
"passed","Thu Jan 29 11:42:39 UTC 2026","Thu Jan 29 11:42:44 UTC 2026","4969","","","","","","[PROD] Verify the product header and image count",""
"passed","Thu Jan 29 11:42:54 UTC 2026","Thu Jan 29 11:43:00 UTC 2026","6029","","","","","","[PROD] Add product to cart :Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 11:43:10 UTC 2026","Thu Jan 29 11:43:14 UTC 2026","3757","","","","","","[PROD] Verify the srp for search key Samsung",""
"passed","Thu Jan 29 11:42:49 UTC 2026","Thu Jan 29 11:42:54 UTC 2026","5185","","","","","","[PROD] Verify the product details of product Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 11:43:00 UTC 2026","Thu Jan 29 11:43:06 UTC 2026","6133","","","","","","[PROD] Navigate to Cart Page :Samsung SyncMaster 941BW",""
"skipped","Thu Jan 29 11:42:39 UTC 2026","Thu Jan 29 11:42:39 UTC 2026","0","","","","","","[PROD] Invalid Login",""
"passed","Thu Jan 29 11:43:10 UTC 2026","Thu Jan 29 11:43:14 UTC 2026","3560","","","","","","[PROD] Verify the srp for search key Macbook",""
"passed","Thu Jan 29 11:42:45 UTC 2026","Thu Jan 29 11:42:50 UTC 2026","5046","","","","","","[PROD] Verify the product details of product MacBook",""
"passed","Thu Jan 29 11:43:14 UTC 2026","Thu Jan 29 11:43:18 UTC 2026","3614","","","","","","[PROD] Verify the srp for search key Dini",""
"passed","Thu Jan 29 11:43:06 UTC 2026","Thu Jan 29 11:43:10 UTC 2026","4699","","","","","","[PROD] Verify Cretae an account successfully for : 'Test'",""
"passed","Thu Jan 29 11:42:55 UTC 2026","Thu Jan 29 11:43:01 UTC 2026","5478","","","","","","[PROD] Navigate to Cart Page :MacBook",""
"passed","Thu Jan 29 11:42:50 UTC 2026","Thu Jan 29 11:42:55 UTC 2026","5485","","","","","","[PROD] Add product to cart :MacBook",""
"passed","Thu Jan 29 11:42:24 UTC 2026","Thu Jan 29 11:42:31 UTC 2026","6875","","","","","","[PROD] Verify product search",""
"passed","Thu Jan 29 11:42:24 UTC 2026","Thu Jan 29 11:42:31 UTC 2026","6389","","","","","","[PROD] Successfull login",""
