"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 09:42:35 UTC 2026","Thu Jan 29 09:42:38 UTC 2026","3485","","","","","","[STAGE] Verify the srp for search key Samsung",""
"passed","Thu Jan 29 09:41:49 UTC 2026","Thu Jan 29 09:41:56 UTC 2026","6583","","","","","","[STAGE] Verify product search",""
"passed","Thu Jan 29 09:42:23 UTC 2026","Thu Jan 29 09:42:29 UTC 2026","5843","","","","","","[STAGE] Navigate to Cart Page :Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 09:42:17 UTC 2026","Thu Jan 29 09:42:23 UTC 2026","5653","","","","","","[STAGE] Add product to cart :Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 09:42:07 UTC 2026","Thu Jan 29 09:42:12 UTC 2026","5297","","","","","","[STAGE] Verify the product header and image count of product Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 09:42:21 UTC 2026","Thu Jan 29 09:42:26 UTC 2026","5677","","","","","","[STAGE] Navigate to Cart Page :MacBook",""
"passed","Thu Jan 29 09:42:01 UTC 2026","Thu Jan 29 09:42:07 UTC 2026","5931","","","","","","[STAGE] Verify the product header and image count",""
"passed","Thu Jan 29 09:41:49 UTC 2026","Thu Jan 29 09:41:55 UTC 2026","6107","","","","","","[STAGE] Successfull login",""
"passed","Thu Jan 29 09:42:15 UTC 2026","Thu Jan 29 09:42:21 UTC 2026","6034","","","","","","[STAGE] Add product to cart :MacBook",""
"passed","Thu Jan 29 09:42:09 UTC 2026","Thu Jan 29 09:42:15 UTC 2026","5097","","","","","","[STAGE] Verify the product details of product MacBook",""
"passed","Thu Jan 29 09:42:38 UTC 2026","Thu Jan 29 09:42:42 UTC 2026","3691","","","","","","[STAGE] Verify the srp for search key Dini",""
"passed","Thu Jan 29 09:42:29 UTC 2026","Thu Jan 29 09:42:33 UTC 2026","4431","","","","","","[STAGE] Verify Cretae an account successfully for : 'Test'",""
"passed","Thu Jan 29 09:42:26 UTC 2026","Thu Jan 29 09:42:31 UTC 2026","4771","","","","","","[STAGE] Verify Cretae an account successfully for : 'Testing'",""
"passed","Thu Jan 29 09:42:37 UTC 2026","Thu Jan 29 09:42:41 UTC 2026","3805","","","","","","[STAGE] Verify the srp for search key iMac",""
"passed","Thu Jan 29 09:42:33 UTC 2026","Thu Jan 29 09:42:37 UTC 2026","3800","","","","","","[STAGE] Verify the srp for search key Macbook",""
"passed","Thu Jan 29 09:42:00 UTC 2026","Thu Jan 29 09:42:03 UTC 2026","3196","","","","","","[STAGE] Invalid Login",""
"passed","Thu Jan 29 09:42:03 UTC 2026","Thu Jan 29 09:42:09 UTC 2026","5997","","","","","","[STAGE] Verify the product header and image count of product MacBook",""
"passed","Thu Jan 29 09:42:31 UTC 2026","Thu Jan 29 09:42:35 UTC 2026","3664","","","","","","[STAGE] Verify the total no.of products in search results page",""
"passed","Thu Jan 29 09:42:12 UTC 2026","Thu Jan 29 09:42:17 UTC 2026","5278","","","","","","[STAGE] Verify the product details of product Samsung SyncMaster 941BW",""
